jahr,ort,tage,typ
1971,Luzern,30,Eistage
1971,Neuenburg,31,Eistage
1971,Säntis,167,Eistage
1971,Samedan,82,Eistage
1971,Sitten,14,Eistage
1971,St. Gallen,35,Eistage
1971,Zürich-Fluntern,29,Eistage
1972,Basel-Binningen,15,Eistage
1972,Bern-Zollikofen,26,Eistage
1972,Davos,36,Eistage
1972,Genf-Cointrin,4,Eistage
1972,Locarno-Monti,0,Eistage
1972,Lugano,0,Eistage
1972,Luzern,20,Eistage
1972,Neuenburg,13,Eistage
1972,Säntis,201,Eistage
1972,Samedan,63,Eistage
1972,Sitten,4,Eistage
1972,St. Gallen,37,Eistage
1972,Zürich-Fluntern,24,Eistage
1973,Basel-Binningen,14,Eistage
1973,Bern-Zollikofen,26,Eistage
1973,Davos,84,Eistage
1973,Genf-Cointrin,11,Eistage
1973,Locarno-Monti,0,Eistage
1973,Lugano,0,Eistage
1973,Luzern,17,Eistage
1973,Neuenburg,16,Eistage
1973,Säntis,190,Eistage
1973,Samedan,80,Eistage
1973,Sitten,10,Eistage
1973,St. Gallen,43,Eistage
1973,Zürich-Fluntern,23,Eistage
1974,Basel-Binningen,0,Eistage
1974,Bern-Zollikofen,2,Eistage
1974,Davos,54,Eistage
1974,Genf-Cointrin,0,Eistage
1974,Locarno-Monti,0,Eistage
1974,Lugano,0,Eistage
1974,Luzern,1,Eistage
1974,Neuenburg,1,Eistage
1974,Säntis,218,Eistage
1974,Samedan,47,Eistage
1974,Sitten,2,Eistage
1974,St. Gallen,11,Eistage
1974,Zürich-Fluntern,2,Eistage
1975,Basel-Binningen,9,Eistage
1975,Bern-Zollikofen,18,Eistage
1975,Davos,58,Eistage
1975,Genf-Cointrin,8,Eistage
1975,Locarno-Monti,0,Eistage
1975,Lugano,0,Eistage
1975,Luzern,9,Eistage
1975,Neuenburg,10,Eistage
1975,Säntis,172,Eistage
1975,Samedan,58,Eistage
1975,Sitten,6,Eistage
1975,St. Gallen,27,Eistage
1975,Zürich-Fluntern,15,Eistage
1976,Basel-Binningen,17,Eistage
1976,Bern-Zollikofen,32,Eistage
1976,Davos,60,Eistage
1976,Genf-Cointrin,12,Eistage
1976,Locarno-Monti,1,Eistage
1976,Lugano,0,Eistage
1976,Luzern,26,Eistage
1976,Neuenburg,24,Eistage
1976,Säntis,182,Eistage
1976,Samedan,58,Eistage
1976,Sitten,15,Eistage
1976,St. Gallen,38,Eistage
1976,Zürich-Fluntern,33,Eistage
1977,Basel-Binningen,4,Eistage
1977,Bern-Zollikofen,14,Eistage
1977,Davos,53,Eistage
1977,Genf-Cointrin,5,Eistage
1977,Locarno-Monti,0,Eistage
1977,Lugano,0,Eistage
1977,Luzern,10,Eistage
1977,Neuenburg,11,Eistage
1977,Säntis,166,Eistage
1977,Samedan,70,Eistage
1977,Sitten,5,Eistage
1977,St. Gallen,26,Eistage
1977,Zürich-Fluntern,13,Eistage
1978,Basel-Binningen,18,Eistage
1978,Bern-Zollikofen,26,Eistage
1978,Davos,60,Eistage
1978,Genf-Cointrin,5,Eistage
1978,Locarno-Monti,1,Eistage
1978,Lugano,0,Eistage
1978,Luzern,25,Eistage
1978,Neuenburg,19,Eistage
1978,Säntis,189,Eistage
1978,Samedan,72,Eistage
1978,Sitten,6,Eistage
1978,St. Gallen,42,Eistage
1978,Zürich-Fluntern,28,Eistage
1979,Basel-Binningen,13,Eistage
1979,Bern-Zollikofen,17,Eistage
1979,Davos,70,Eistage
1979,Genf-Cointrin,8,Eistage
1979,Locarno-Monti,3,Eistage
1979,Lugano,3,Eistage
1979,Luzern,14,Eistage
1979,Neuenburg,13,Eistage
1979,Säntis,187,Eistage
1979,Samedan,69,Eistage
1979,Sitten,8,Eistage
1979,St. Gallen,30,Eistage
1979,Zürich-Fluntern,17,Eistage
1980,Basel-Binningen,16,Eistage
1980,Bern-Zollikofen,32,Eistage
1980,Davos,77,Eistage
1980,Genf-Cointrin,16,Eistage
1980,Locarno-Monti,0,Eistage
1980,Lugano,0,Eistage
1980,Luzern,25,Eistage
1980,Neuenburg,21,Eistage
1980,Säntis,191,Eistage
1980,Samedan,84,Eistage
1980,Sitten,18,Eistage
1980,St. Gallen,35,Eistage
1980,Zürich-Fluntern,29,Eistage
1981,Basel-Binningen,12,Eistage
1981,Bern-Zollikofen,26,Eistage
1981,Davos,86,Eistage
1981,Genf-Cointrin,14,Eistage
1981,Locarno-Monti,1,Eistage
1981,Lugano,0,Eistage
1981,Luzern,23,Eistage
1981,Neuenburg,18,Eistage
1981,Säntis,166,Eistage
1981,Samedan,86,Eistage
1981,Sitten,9,Eistage
1981,St. Gallen,44,Eistage
1981,Zürich-Fluntern,26,Eistage
1982,Basel-Binningen,11,Eistage
1982,Bern-Zollikofen,10,Eistage
1982,Davos,53,Eistage
1982,Genf-Cointrin,0,Eistage
1982,Locarno-Monti,0,Eistage
1982,Lugano,1,Eistage
1982,Luzern,13,Eistage
1982,Neuenburg,13,Eistage
1982,Säntis,165,Eistage
1982,Samedan,63,Eistage
1982,Sitten,3,Eistage
1982,St. Gallen,22,Eistage
1982,Zürich-Fluntern,16,Eistage
1983,Basel-Binningen,10,Eistage
1983,Bern-Zollikofen,18,Eistage
1983,Davos,54,Eistage
1983,Genf-Cointrin,8,Eistage
1983,Locarno-Monti,1,Eistage
1983,Lugano,0,Eistage
1983,Luzern,21,Eistage
1983,Neuenburg,14,Eistage
1983,Säntis,152,Eistage
1983,Samedan,65,Eistage
1983,Sitten,6,Eistage
1983,St. Gallen,37,Eistage
1983,Zürich-Fluntern,28,Eistage
1984,Basel-Binningen,3,Eistage
1984,Bern-Zollikofen,16,Eistage
1984,Davos,76,Eistage
1984,Genf-Cointrin,5,Eistage
1984,Locarno-Monti,0,Eistage
1984,Lugano,0,Eistage
1984,Luzern,10,Eistage
1984,Neuenburg,6,Eistage
1984,Säntis,179,Eistage
1984,Samedan,80,Eistage
1984,Sitten,4,Eistage
1984,St. Gallen,35,Eistage
1984,Zürich-Fluntern,17,Eistage
1985,Basel-Binningen,36,Eistage
1985,Bern-Zollikofen,42,Eistage
1985,Davos,69,Eistage
1985,Genf-Cointrin,28,Eistage
1985,Locarno-Monti,6,Eistage
1985,Lugano,6,Eistage
1985,Luzern,40,Eistage
1985,Neuenburg,30,Eistage
1985,Säntis,175,Eistage
1985,Samedan,72,Eistage
1985,Sitten,21,Eistage
1985,St. Gallen,53,Eistage
1985,Zürich-Fluntern,40,Eistage
1986,Basel-Binningen,24,Eistage
1986,Bern-Zollikofen,31,Eistage
1986,Davos,69,Eistage
1986,Genf-Cointrin,14,Eistage
1986,Locarno-Monti,2,Eistage
1986,Lugano,1,Eistage
1986,Luzern,28,Eistage
1986,Neuenburg,24,Eistage
1986,Säntis,170,Eistage
1986,Samedan,74,Eistage
1986,Sitten,10,Eistage
1986,St. Gallen,45,Eistage
1986,Zürich-Fluntern,35,Eistage
1987,Basel-Binningen,28,Eistage
1987,Bern-Zollikofen,37,Eistage
1987,Davos,65,Eistage
1987,Genf-Cointrin,22,Eistage
1987,Locarno-Monti,2,Eistage
1987,Lugano,2,Eistage
1987,Luzern,33,Eistage
1987,Neuenburg,27,Eistage
1987,Säntis,168,Eistage
1987,Samedan,77,Eistage
1987,Sitten,13,Eistage
1987,St. Gallen,49,Eistage
1987,Zürich-Fluntern,37,Eistage
1988,Basel-Binningen,2,Eistage
1988,Bern-Zollikofen,8,Eistage
1988,Davos,59,Eistage
1988,Genf-Cointrin,1,Eistage
1988,Locarno-Monti,0,Eistage
1988,Lugano,0,Eistage
1988,Luzern,4,Eistage
1988,Neuenburg,2,Eistage
1988,Säntis,157,Eistage
1988,Samedan,51,Eistage
1988,Sitten,2,Eistage
1988,St. Gallen,14,Eistage
1988,Zürich-Fluntern,8,Eistage
1989,Basel-Binningen,5,Eistage
1989,Bern-Zollikofen,20,Eistage
1989,Davos,20,Eistage
1989,Genf-Cointrin,1,Eistage
1989,Locarno-Monti,0,Eistage
1989,Lugano,0,Eistage
1989,Luzern,16,Eistage
1989,Neuenburg,18,Eistage
1989,Säntis,118,Eistage
1989,Samedan,29,Eistage
1989,Sitten,2,Eistage
1989,St. Gallen,26,Eistage
1989,Zürich-Fluntern,19,Eistage
1990,Basel-Binningen,4,Eistage
1990,Bern-Zollikofen,19,Eistage
1990,Davos,46,Eistage
1990,Genf-Cointrin,9,Eistage
1990,Locarno-Monti,0,Eistage
1990,Lugano,0,Eistage
1990,Luzern,16,Eistage
1990,Neuenburg,14,Eistage
1990,Säntis,143,Eistage
1990,Samedan,61,Eistage
1990,Sitten,5,Eistage
1990,St. Gallen,18,Eistage
1990,Zürich-Fluntern,17,Eistage
1991,Basel-Binningen,21,Eistage
1991,Bern-Zollikofen,36,Eistage
1991,Davos,62,Eistage
1991,Genf-Cointrin,16,Eistage
1991,Locarno-Monti,2,Eistage
1991,Lugano,2,Eistage
1991,Luzern,27,Eistage
1991,Neuenburg,28,Eistage
1991,Säntis,169,Eistage
1991,Samedan,70,Eistage
1991,Sitten,14,Eistage
1991,St. Gallen,49,Eistage
1991,Zürich-Fluntern,34,Eistage
1992,Basel-Binningen,11,Eistage
1992,Bern-Zollikofen,23,Eistage
1992,Davos,46,Eistage
1992,Genf-Cointrin,10,Eistage
1992,Locarno-Monti,0,Eistage
1992,Lugano,0,Eistage
1992,Luzern,17,Eistage
1992,Neuenburg,15,Eistage
1992,Säntis,152,Eistage
1992,Samedan,62,Eistage
1992,Sitten,5,Eistage
1992,St. Gallen,31,Eistage
1992,Zürich-Fluntern,21,Eistage
1993,Basel-Binningen,17,Eistage
1993,Bern-Zollikofen,24,Eistage
1993,Davos,54,Eistage
1993,Genf-Cointrin,7,Eistage
1993,Locarno-Monti,0,Eistage
1993,Lugano,0,Eistage
1993,Luzern,16,Eistage
1993,Neuenburg,15,Eistage
1993,Säntis,145,Eistage
1993,Samedan,54,Eistage
1993,Sitten,7,Eistage
1993,St. Gallen,42,Eistage
1993,Zürich-Fluntern,27,Eistage
1994,Basel-Binningen,4,Eistage
1994,Bern-Zollikofen,10,Eistage
1994,Davos,43,Eistage
1994,Genf-Cointrin,0,Eistage
1994,Locarno-Monti,1,Eistage
1994,Lugano,2,Eistage
1994,Luzern,7,Eistage
1994,Neuenburg,5,Eistage
1994,Säntis,150,Eistage
1994,Samedan,41,Eistage
1994,Sitten,3,Eistage
1994,St. Gallen,21,Eistage
1994,Zürich-Fluntern,13,Eistage
1995,Basel-Binningen,10,Eistage
1995,Bern-Zollikofen,24,Eistage
1995,Davos,57,Eistage
1995,Genf-Cointrin,6,Eistage
1995,Locarno-Monti,0,Eistage
1995,Lugano,0,Eistage
1995,Luzern,20,Eistage
1995,Neuenburg,14,Eistage
1995,Säntis,171,Eistage
1995,Samedan,63,Eistage
1995,Sitten,9,Eistage
1995,St. Gallen,33,Eistage
1995,Zürich-Fluntern,27,Eistage
1996,Basel-Binningen,16,Eistage
1996,Bern-Zollikofen,32,Eistage
1996,Davos,53,Eistage
1996,Genf-Cointrin,11,Eistage
1996,Locarno-Monti,4,Eistage
1996,Lugano,4,Eistage
1996,Luzern,20,Eistage
1996,Neuenburg,17,Eistage
1996,Säntis,166,Eistage
1996,Samedan,75,Eistage
1996,Sitten,8,Eistage
1996,St. Gallen,54,Eistage
1996,Zürich-Fluntern,32,Eistage
1997,Basel-Binningen,17,Eistage
1997,Bern-Zollikofen,18,Eistage
1997,Davos,34,Eistage
1997,Genf-Cointrin,8,Eistage
1997,Locarno-Monti,0,Eistage
1997,Lugano,0,Eistage
1997,Luzern,15,Eistage
1997,Neuenburg,16,Eistage
1997,Säntis,146,Eistage
1997,Samedan,51,Eistage
1997,Sitten,0,Eistage
1997,St. Gallen,24,Eistage
1997,Zürich-Fluntern,24,Eistage
1998,Basel-Binningen,10,Eistage
1998,Bern-Zollikofen,23,Eistage
1998,Davos,58,Eistage
1998,Genf-Cointrin,3,Eistage
1998,Locarno-Monti,0,Eistage
1998,Lugano,0,Eistage
1998,Luzern,23,Eistage
1998,Neuenburg,14,Eistage
1998,Säntis,169,Eistage
1998,Samedan,67,Eistage
1998,Sitten,2,Eistage
1998,St. Gallen,36,Eistage
1998,Zürich-Fluntern,26,Eistage
1999,Basel-Binningen,13,Eistage
1999,Bern-Zollikofen,23,Eistage
1999,Davos,62,Eistage
1999,Genf-Cointrin,6,Eistage
1999,Locarno-Monti,0,Eistage
1999,Lugano,0,Eistage
1999,Luzern,17,Eistage
1999,Neuenburg,12,Eistage
1999,Säntis,146,Eistage
1999,Samedan,70,Eistage
1999,Sitten,12,Eistage
1999,St. Gallen,30,Eistage
1999,Zürich-Fluntern,19,Eistage
2000,Basel-Binningen,4,Eistage
2000,Bern-Zollikofen,7,Eistage
2000,Davos,49,Eistage
2000,Genf-Cointrin,3,Eistage
2000,Locarno-Monti,0,Eistage
2000,Lugano,0,Eistage
2000,Luzern,6,Eistage
2000,Neuenburg,3,Eistage
2000,Säntis,167,Eistage
2000,Samedan,53,Eistage
2000,Sitten,5,Eistage
2000,St. Gallen,15,Eistage
2000,Zürich-Fluntern,8,Eistage
2001,Basel-Binningen,8,Eistage
2001,Bern-Zollikofen,14,Eistage
2001,Davos,65,Eistage
2001,Genf-Cointrin,7,Eistage
2001,Locarno-Monti,1,Eistage
2001,Lugano,0,Eistage
2001,Luzern,11,Eistage
2001,Neuenburg,8,Eistage
2001,Säntis,164,Eistage
2001,Samedan,59,Eistage
2001,Sitten,11,Eistage
2001,St. Gallen,35,Eistage
2001,Zürich-Fluntern,16,Eistage
2002,Basel-Binningen,10,Eistage
2002,Bern-Zollikofen,15,Eistage
2002,Davos,36,Eistage
2002,Genf-Cointrin,7,Eistage
2002,Locarno-Monti,0,Eistage
2002,Lugano,0,Eistage
2002,Luzern,15,Eistage
2002,Neuenburg,13,Eistage
2002,Säntis,143,Eistage
2002,Samedan,35,Eistage
2002,Sitten,4,Eistage
2002,St. Gallen,19,Eistage
2002,Zürich-Fluntern,15,Eistage
2003,Basel-Binningen,16,Eistage
2003,Bern-Zollikofen,24,Eistage
2003,Davos,54,Eistage
2003,Genf-Cointrin,12,Eistage
2003,Locarno-Monti,0,Eistage
2003,Lugano,0,Eistage
2003,Luzern,22,Eistage
2003,Neuenburg,20,Eistage
2003,Säntis,144,Eistage
2003,Samedan,57,Eistage
2003,Sitten,6,Eistage
2003,St. Gallen,39,Eistage
2003,Zürich-Fluntern,28,Eistage
2004,Basel-Binningen,5,Eistage
2004,Bern-Zollikofen,15,Eistage
2004,Davos,66,Eistage
2004,Genf-Cointrin,0,Eistage
2004,Locarno-Monti,0,Eistage
2004,Lugano,0,Eistage
2004,Luzern,5,Eistage
2004,Neuenburg,4,Eistage
2004,Säntis,157,Eistage
2004,Samedan,67,Eistage
2004,Sitten,3,Eistage
