jahr,ort,tage,typ
2020,Luzern,1,Eistage
2020,Neuenburg,2,Eistage
2020,Säntis,109,Eistage
2020,Samedan,45,Eistage
2020,Sitten,0,Eistage
2020,St. Gallen,13,Eistage
2020,Zürich-Fluntern,4,Eistage
1959,Basel-Binningen,70,Frosttage
1959,Bern-Zollikofen,110,Frosttage
1959,Davos,208,Frosttage
1959,Genf-Cointrin,78,Frosttage
1959,Locarno-Monti,30,Frosttage
1959,Lugano,27,Frosttage
1959,Luzern,93,Frosttage
1959,Neuenburg,54,Frosttage
1959,Säntis,244,Frosttage
1959,Samedan,252,Frosttage
1959,Sitten,97,Frosttage
1959,St. Gallen,97,Frosttage
1959,Zürich-Fluntern,76,Frosttage
1960,Basel-Binningen,68,Frosttage
1960,Bern-Zollikofen,102,Frosttage
1960,Davos,209,Frosttage
1960,Genf-Cointrin,62,Frosttage
1960,Locarno-Monti,39,Frosttage
1960,Lugano,28,Frosttage
1960,Luzern,72,Frosttage
1960,Neuenburg,48,Frosttage
1960,Säntis,272,Frosttage
1960,Samedan,259,Frosttage
1960,Sitten,82,Frosttage
1960,St. Gallen,82,Frosttage
1960,Zürich-Fluntern,69,Frosttage
1961,Basel-Binningen,49,Frosttage
1961,Bern-Zollikofen,102,Frosttage
1961,Davos,193,Frosttage
1961,Genf-Cointrin,63,Frosttage
1961,Locarno-Monti,41,Frosttage
1961,Lugano,44,Frosttage
1961,Luzern,82,Frosttage
1961,Neuenburg,47,Frosttage
1961,Säntis,265,Frosttage
1961,Samedan,245,Frosttage
1961,Sitten,95,Frosttage
1961,St. Gallen,80,Frosttage
1961,Zürich-Fluntern,63,Frosttage
1962,Basel-Binningen,96,Frosttage
1962,Bern-Zollikofen,140,Frosttage
1962,Davos,238,Frosttage
1962,Genf-Cointrin,105,Frosttage
1962,Locarno-Monti,46,Frosttage
1962,Lugano,55,Frosttage
1962,Luzern,117,Frosttage
1962,Neuenburg,93,Frosttage
1962,Säntis,262,Frosttage
1962,Samedan,266,Frosttage
1962,Sitten,117,Frosttage
1962,St. Gallen,120,Frosttage
1962,Zürich-Fluntern,108,Frosttage
1963,Basel-Binningen,94,Frosttage
1963,Bern-Zollikofen,125,Frosttage
1963,Davos,201,Frosttage
1963,Genf-Cointrin,84,Frosttage
1963,Locarno-Monti,55,Frosttage
1963,Lugano,65,Frosttage
1963,Luzern,104,Frosttage
1963,Neuenburg,83,Frosttage
1963,Säntis,258,Frosttage
1963,Samedan,247,Frosttage
1963,Sitten,94,Frosttage
1963,St. Gallen,107,Frosttage
1963,Zürich-Fluntern,98,Frosttage
1964,Basel-Binningen,82,Frosttage
1964,Bern-Zollikofen,117,Frosttage
1964,Davos,214,Frosttage
1964,Genf-Cointrin,72,Frosttage
1964,Locarno-Monti,34,Frosttage
1964,Lugano,38,Frosttage
1964,Luzern,95,Frosttage
1964,Neuenburg,77,Frosttage
1964,Säntis,250,Frosttage
1964,Samedan,250,Frosttage
1964,Sitten,113,Frosttage
1964,St. Gallen,102,Frosttage
1964,Zürich-Fluntern,88,Frosttage
1965,Basel-Binningen,79,Frosttage
1965,Bern-Zollikofen,116,Frosttage
1965,Davos,234,Frosttage
1965,Genf-Cointrin,83,Frosttage
1965,Locarno-Monti,60,Frosttage
1965,Lugano,56,Frosttage
1965,Luzern,103,Frosttage
1965,Neuenburg,76,Frosttage
1965,Säntis,270,Frosttage
1965,Samedan,259,Frosttage
1965,Sitten,100,Frosttage
1965,St. Gallen,99,Frosttage
1965,Zürich-Fluntern,87,Frosttage
1966,Basel-Binningen,60,Frosttage
1966,Bern-Zollikofen,110,Frosttage
1966,Davos,198,Frosttage
1966,Genf-Cointrin,69,Frosttage
1966,Locarno-Monti,38,Frosttage
1966,Lugano,46,Frosttage
1966,Luzern,89,Frosttage
1966,Neuenburg,53,Frosttage
1966,Säntis,253,Frosttage
1966,Samedan,231,Frosttage
1966,Sitten,77,Frosttage
1966,St. Gallen,89,Frosttage
1966,Zürich-Fluntern,75,Frosttage
1967,Basel-Binningen,72,Frosttage
1967,Bern-Zollikofen,111,Frosttage
1967,Davos,213,Frosttage
1967,Genf-Cointrin,84,Frosttage
1967,Locarno-Monti,37,Frosttage
1967,Lugano,44,Frosttage
1967,Luzern,81,Frosttage
1967,Neuenburg,62,Frosttage
1967,Säntis,247,Frosttage
1967,Samedan,264,Frosttage
1967,Sitten,103,Frosttage
1967,St. Gallen,91,Frosttage
1967,Zürich-Fluntern,72,Frosttage
1968,Basel-Binningen,80,Frosttage
1968,Bern-Zollikofen,122,Frosttage
1968,Davos,206,Frosttage
1968,Genf-Cointrin,70,Frosttage
1968,Locarno-Monti,36,Frosttage
1968,Lugano,43,Frosttage
1968,Luzern,108,Frosttage
1968,Neuenburg,65,Frosttage
1968,Säntis,261,Frosttage
1968,Samedan,255,Frosttage
1968,Sitten,95,Frosttage
1968,St. Gallen,113,Frosttage
1968,Zürich-Fluntern,93,Frosttage
1969,Basel-Binningen,84,Frosttage
1969,Bern-Zollikofen,126,Frosttage
1969,Davos,209,Frosttage
1969,Genf-Cointrin,96,Frosttage
1969,Locarno-Monti,60,Frosttage
1969,Lugano,56,Frosttage
1969,Luzern,115,Frosttage
1969,Neuenburg,80,Frosttage
1969,Säntis,240,Frosttage
1969,Samedan,258,Frosttage
1969,Sitten,111,Frosttage
1969,St. Gallen,121,Frosttage
1969,Zürich-Fluntern,106,Frosttage
1970,Basel-Binningen,85,Frosttage
1970,Bern-Zollikofen,128,Frosttage
1970,Davos,219,Frosttage
1970,Genf-Cointrin,91,Frosttage
1970,Locarno-Monti,50,Frosttage
1970,Lugano,39,Frosttage
1970,Luzern,109,Frosttage
1970,Neuenburg,84,Frosttage
1970,Säntis,258,Frosttage
1970,Samedan,256,Frosttage
1970,Sitten,106,Frosttage
1970,St. Gallen,119,Frosttage
1970,Zürich-Fluntern,105,Frosttage
1971,Basel-Binningen,84,Frosttage
1971,Bern-Zollikofen,129,Frosttage
1971,Davos,201,Frosttage
1971,Genf-Cointrin,98,Frosttage
1971,Locarno-Monti,37,Frosttage
1971,Lugano,35,Frosttage
1971,Luzern,112,Frosttage
1971,Neuenburg,82,Frosttage
1971,Säntis,241,Frosttage
1971,Samedan,251,Frosttage
1971,Sitten,116,Frosttage
1971,St. Gallen,109,Frosttage
1971,Zürich-Fluntern,98,Frosttage
1972,Basel-Binningen,67,Frosttage
1972,Bern-Zollikofen,113,Frosttage
1972,Davos,246,Frosttage
1972,Genf-Cointrin,78,Frosttage
1972,Locarno-Monti,21,Frosttage
1972,Lugano,15,Frosttage
1972,Luzern,90,Frosttage
1972,Neuenburg,57,Frosttage
1972,Säntis,284,Frosttage
1972,Samedan,264,Frosttage
1972,Sitten,71,Frosttage
1972,St. Gallen,100,Frosttage
1972,Zürich-Fluntern,73,Frosttage
1973,Basel-Binningen,101,Frosttage
1973,Bern-Zollikofen,148,Frosttage
1973,Davos,212,Frosttage
1973,Genf-Cointrin,112,Frosttage
1973,Locarno-Monti,45,Frosttage
1973,Lugano,38,Frosttage
1973,Luzern,123,Frosttage
1973,Neuenburg,87,Frosttage
1973,Säntis,254,Frosttage
1973,Samedan,242,Frosttage
1973,Sitten,122,Frosttage
1973,St. Gallen,130,Frosttage
1973,Zürich-Fluntern,115,Frosttage
1974,Basel-Binningen,35,Frosttage
1974,Bern-Zollikofen,96,Frosttage
1974,Davos,242,Frosttage
1974,Genf-Cointrin,53,Frosttage
1974,Locarno-Monti,1,Frosttage
1974,Lugano,5,Frosttage
1974,Luzern,67,Frosttage
1974,Neuenburg,26,Frosttage
1974,Säntis,289,Frosttage
1974,Samedan,274,Frosttage
1974,Sitten,71,Frosttage
1974,St. Gallen,99,Frosttage
1974,Zürich-Fluntern,54,Frosttage
1975,Basel-Binningen,73,Frosttage
1975,Bern-Zollikofen,117,Frosttage
1975,Davos,215,Frosttage
1975,Genf-Cointrin,73,Frosttage
1975,Locarno-Monti,16,Frosttage
1975,Lugano,17,Frosttage
1975,Luzern,90,Frosttage
1975,Neuenburg,60,Frosttage
1975,Säntis,260,Frosttage
1975,Samedan,258,Frosttage
1975,Sitten,96,Frosttage
1975,St. Gallen,106,Frosttage
1975,Zürich-Fluntern,83,Frosttage
1976,Basel-Binningen,77,Frosttage
1976,Bern-Zollikofen,125,Frosttage
1976,Davos,219,Frosttage
1976,Genf-Cointrin,92,Frosttage
1976,Locarno-Monti,31,Frosttage
1976,Lugano,26,Frosttage
1976,Luzern,95,Frosttage
1976,Neuenburg,63,Frosttage
1976,Säntis,263,Frosttage
1976,Samedan,254,Frosttage
1976,Sitten,103,Frosttage
1976,St. Gallen,109,Frosttage
1976,Zürich-Fluntern,83,Frosttage
1977,Basel-Binningen,51,Frosttage
1977,Bern-Zollikofen,101,Frosttage
1977,Davos,205,Frosttage
1977,Genf-Cointrin,48,Frosttage
1977,Locarno-Monti,25,Frosttage
1977,Lugano,24,Frosttage
1977,Luzern,81,Frosttage
1977,Neuenburg,42,Frosttage
1977,Säntis,255,Frosttage
1977,Samedan,250,Frosttage
1977,Sitten,75,Frosttage
1977,St. Gallen,93,Frosttage
1977,Zürich-Fluntern,67,Frosttage
1978,Basel-Binningen,66,Frosttage
1978,Bern-Zollikofen,115,Frosttage
1978,Davos,228,Frosttage
1978,Genf-Cointrin,71,Frosttage
1978,Locarno-Monti,31,Frosttage
1978,Lugano,30,Frosttage
1978,Luzern,83,Frosttage
1978,Neuenburg,53,Frosttage
1978,Säntis,276,Frosttage
1978,Samedan,283,Frosttage
1978,Sitten,97,Frosttage
1978,St. Gallen,105,Frosttage
1978,Zürich-Fluntern,87,Frosttage
1979,Basel-Binningen,59,Frosttage
1979,Bern-Zollikofen,107,Frosttage
1979,Davos,214,Frosttage
1979,Genf-Cointrin,73,Frosttage
1979,Locarno-Monti,37,Frosttage
1979,Lugano,28,Frosttage
1979,Luzern,78,Frosttage
1979,Neuenburg,53,Frosttage
1979,Säntis,251,Frosttage
1979,Samedan,274,Frosttage
1979,Sitten,88,Frosttage
1979,St. Gallen,112,Frosttage
1979,Zürich-Fluntern,80,Frosttage
1980,Basel-Binningen,69,Frosttage
1980,Bern-Zollikofen,120,Frosttage
1980,Davos,227,Frosttage
1980,Genf-Cointrin,93,Frosttage
1980,Locarno-Monti,27,Frosttage
1980,Lugano,28,Frosttage
1980,Luzern,88,Frosttage
1980,Neuenburg,64,Frosttage
1980,Säntis,282,Frosttage
1980,Samedan,252,Frosttage
1980,Sitten,106,Frosttage
1980,St. Gallen,112,Frosttage
1980,Zürich-Fluntern,85,Frosttage
1981,Basel-Binningen,77,Frosttage
1981,Bern-Zollikofen,111,Frosttage
1981,Davos,183,Frosttage
1981,Genf-Cointrin,89,Frosttage
1981,Locarno-Monti,54,Frosttage
1981,Lugano,53,Frosttage
1981,Luzern,92,Frosttage
1981,Neuenburg,80,Frosttage
1981,Säntis,256,Frosttage
1981,Samedan,230,Frosttage
1981,Sitten,94,Frosttage
1981,St. Gallen,111,Frosttage
1981,Zürich-Fluntern,91,Frosttage
1982,Basel-Binningen,46,Frosttage
1982,Bern-Zollikofen,110,Frosttage
1982,Davos,208,Frosttage
1982,Genf-Cointrin,55,Frosttage
1982,Locarno-Monti,28,Frosttage
1982,Lugano,30,Frosttage
1982,Luzern,77,Frosttage
1982,Neuenburg,45,Frosttage
1982,Säntis,241,Frosttage
1982,Samedan,228,Frosttage
1982,Sitten,94,Frosttage
1982,St. Gallen,94,Frosttage
1982,Zürich-Fluntern,64,Frosttage
1983,Basel-Binningen,69,Frosttage
1983,Bern-Zollikofen,113,Frosttage
1983,Davos,209,Frosttage
1983,Genf-Cointrin,87,Frosttage
1983,Locarno-Monti,37,Frosttage
1983,Lugano,36,Frosttage
1983,Luzern,84,Frosttage
1983,Neuenburg,67,Frosttage
1983,Säntis,248,Frosttage
1983,Samedan,246,Frosttage
1983,Sitten,109,Frosttage
1983,St. Gallen,97,Frosttage
1983,Zürich-Fluntern,81,Frosttage
1984,Basel-Binningen,66,Frosttage
1984,Bern-Zollikofen,122,Frosttage
1984,Davos,206,Frosttage
1984,Genf-Cointrin,78,Frosttage
1984,Locarno-Monti,33,Frosttage
1984,Lugano,30,Frosttage
1984,Luzern,93,Frosttage
1984,Neuenburg,63,Frosttage
1984,Säntis,264,Frosttage
1984,Samedan,274,Frosttage
1984,Sitten,97,Frosttage
1984,St. Gallen,115,Frosttage
1984,Zürich-Fluntern,88,Frosttage
1985,Basel-Binningen,83,Frosttage
1985,Bern-Zollikofen,129,Frosttage
1985,Davos,206,Frosttage
1985,Genf-Cointrin,111,Frosttage
1985,Locarno-Monti,42,Frosttage
1985,Lugano,35,Frosttage
1985,Luzern,109,Frosttage
1985,Neuenburg,75,Frosttage
1985,Säntis,256,Frosttage
1985,Samedan,265,Frosttage
1985,Sitten,112,Frosttage
1985,St. Gallen,109,Frosttage
1985,Zürich-Fluntern,93,Frosttage
1986,Basel-Binningen,77,Frosttage
1986,Bern-Zollikofen,113,Frosttage
1986,Davos,194,Frosttage
1986,Genf-Cointrin,86,Frosttage
1986,Locarno-Monti,35,Frosttage
1986,Lugano,23,Frosttage
1986,Luzern,100,Frosttage
1986,Neuenburg,68,Frosttage
1986,Säntis,242,Frosttage
1986,Samedan,245,Frosttage
1986,Sitten,110,Frosttage
1986,St. Gallen,106,Frosttage
1986,Zürich-Fluntern,89,Frosttage
1987,Basel-Binningen,70,Frosttage
1987,Bern-Zollikofen,106,Frosttage
1987,Davos,202,Frosttage
1987,Genf-Cointrin,73,Frosttage
1987,Locarno-Monti,40,Frosttage
1987,Lugano,36,Frosttage
1987,Luzern,87,Frosttage
1987,Neuenburg,70,Frosttage
1987,Säntis,257,Frosttage
1987,Samedan,236,Frosttage
1987,Sitten,103,Frosttage
1987,St. Gallen,101,Frosttage
1987,Zürich-Fluntern,84,Frosttage
1988,Basel-Binningen,48,Frosttage
1988,Bern-Zollikofen,98,Frosttage
1988,Davos,186,Frosttage
1988,Genf-Cointrin,62,Frosttage
1988,Locarno-Monti,12,Frosttage
1988,Lugano,14,Frosttage
1988,Luzern,71,Frosttage
1988,Neuenburg,49,Frosttage
1988,Säntis,240,Frosttage
1988,Samedan,218,Frosttage
1988,Sitten,82,Frosttage
1988,St. Gallen,86,Frosttage
1988,Zürich-Fluntern,70,Frosttage
1989,Basel-Binningen,61,Frosttage
1989,Bern-Zollikofen,92,Frosttage
1989,Davos,191,Frosttage
1989,Genf-Cointrin,78,Frosttage
1989,Locarno-Monti,24,Frosttage
1989,Lugano,28,Frosttage
1989,Luzern,71,Frosttage
1989,Neuenburg,58,Frosttage
1989,Säntis,240,Frosttage
1989,Samedan,242,Frosttage
1989,Sitten,86,Frosttage
1989,St. Gallen,83,Frosttage
1989,Zürich-Fluntern,62,Frosttage
1990,Basel-Binningen,51,Frosttage
1990,Bern-Zollikofen,86,Frosttage
1990,Davos,194,Frosttage
1990,Genf-Cointrin,69,Frosttage
1990,Locarno-Monti,27,Frosttage
1990,Lugano,33,Frosttage
1990,Luzern,78,Frosttage
1990,Neuenburg,52,Frosttage
1990,Säntis,267,Frosttage
1990,Samedan,250,Frosttage
1990,Sitten,79,Frosttage
1990,St. Gallen,83,Frosttage
1990,Zürich-Fluntern,61,Frosttage
1991,Basel-Binningen,76,Frosttage
1991,Bern-Zollikofen,113,Frosttage
1991,Davos,216,Frosttage
1991,Genf-Cointrin,81,Frosttage
1991,Locarno-Monti,39,Frosttage
1991,Lugano,48,Frosttage
1991,Luzern,96,Frosttage
1991,Neuenburg,70,Frosttage
1991,Säntis,253,Frosttage
1991,Samedan,237,Frosttage
1991,Sitten,106,Frosttage
1991,St. Gallen,108,Frosttage
1991,Zürich-Fluntern,89,Frosttage
1992,Basel-Binningen,50,Frosttage
1992,Bern-Zollikofen,96,Frosttage
1992,Davos,201,Frosttage
1992,Genf-Cointrin,69,Frosttage
1992,Locarno-Monti,19,Frosttage
1992,Lugano,27,Frosttage
1992,Luzern,80,Frosttage
1992,Neuenburg,53,Frosttage
1992,Säntis,239,Frosttage
1992,Samedan,232,Frosttage
1992,Sitten,87,Frosttage
1992,St. Gallen,89,Frosttage
1992,Zürich-Fluntern,69,Frosttage
1993,Basel-Binningen,65,Frosttage
1993,Bern-Zollikofen,103,Frosttage
1993,Davos,196,Frosttage
1993,Genf-Cointrin,90,Frosttage
1993,Locarno-Monti,18,Frosttage
1993,Lugano,22,Frosttage
1993,Luzern,83,Frosttage
1993,Neuenburg,66,Frosttage
1993,Säntis,264,Frosttage
1993,Samedan,229,Frosttage
1993,Sitten,107,Frosttage
1993,St. Gallen,86,Frosttage
1993,Zürich-Fluntern,77,Frosttage
1994,Basel-Binningen,32,Frosttage
1994,Bern-Zollikofen,64,Frosttage
1994,Davos,185,Frosttage
1994,Genf-Cointrin,47,Frosttage
1994,Locarno-Monti,17,Frosttage
1994,Lugano,16,Frosttage
1994,Luzern,45,Frosttage
1994,Neuenburg,28,Frosttage
1994,Säntis,236,Frosttage
1994,Samedan,220,Frosttage
1994,Sitten,61,Frosttage
1994,St. Gallen,65,Frosttage
1994,Zürich-Fluntern,35,Frosttage
1995,Basel-Binningen,65,Frosttage
1995,Bern-Zollikofen,104,Frosttage
1995,Davos,195,Frosttage
1995,Genf-Cointrin,74,Frosttage
1995,Locarno-Monti,24,Frosttage
1995,Lugano,16,Frosttage
1995,Luzern,93,Frosttage
1995,Neuenburg,66,Frosttage
1995,Säntis,249,Frosttage
1995,Samedan,236,Frosttage
1995,Sitten,94,Frosttage
1995,St. Gallen,101,Frosttage
1995,Zürich-Fluntern,80,Frosttage
1996,Basel-Binningen,82,Frosttage
1996,Bern-Zollikofen,112,Frosttage
1996,Davos,197,Frosttage
1996,Genf-Cointrin,79,Frosttage
1996,Locarno-Monti,26,Frosttage
1996,Lugano,21,Frosttage
1996,Luzern,100,Frosttage
1996,Neuenburg,79,Frosttage
1996,Säntis,268,Frosttage
1996,Samedan,230,Frosttage
1996,Sitten,98,Frosttage
1996,St. Gallen,121,Frosttage
1996,Zürich-Fluntern,103,Frosttage
1997,Basel-Binningen,69,Frosttage
1997,Bern-Zollikofen,114,Frosttage
1997,Davos,195,Frosttage
1997,Genf-Cointrin,74,Frosttage
1997,Locarno-Monti,5,Frosttage
1997,Lugano,6,Frosttage
1997,Luzern,80,Frosttage
1997,Neuenburg,53,Frosttage
1997,Säntis,247,Frosttage
1997,Samedan,242,Frosttage
1997,Sitten,81,Frosttage
1997,St. Gallen,95,Frosttage
1997,Zürich-Fluntern,74,Frosttage
1998,Basel-Binningen,61,Frosttage
1998,Bern-Zollikofen,117,Frosttage
1998,Davos,196,Frosttage
1998,Genf-Cointrin,97,Frosttage
1998,Locarno-Monti,30,Frosttage
1998,Lugano,28,Frosttage
1998,Luzern,101,Frosttage
1998,Neuenburg,65,Frosttage
1998,Säntis,256,Frosttage
1998,Samedan,241,Frosttage
1998,Sitten,107,Frosttage
1998,St. Gallen,79,Frosttage
1998,Zürich-Fluntern,73,Frosttage
1999,Basel-Binningen,57,Frosttage
1999,Bern-Zollikofen,100,Frosttage
1999,Davos,182,Frosttage
1999,Genf-Cointrin,74,Frosttage
1999,Locarno-Monti,26,Frosttage
1999,Lugano,22,Frosttage
1999,Luzern,88,Frosttage
1999,Neuenburg,64,Frosttage
1999,Säntis,230,Frosttage
1999,Samedan,219,Frosttage
1999,Sitten,98,Frosttage
1999,St. Gallen,88,Frosttage
1999,Zürich-Fluntern,73,Frosttage
2000,Basel-Binningen,30,Frosttage
2000,Bern-Zollikofen,82,Frosttage
2000,Davos,179,Frosttage
2000,Genf-Cointrin,64,Frosttage
2000,Locarno-Monti,19,Frosttage
2000,Lugano,18,Frosttage
2000,Luzern,60,Frosttage
2000,Neuenburg,28,Frosttage
2000,Säntis,236,Frosttage
2000,Samedan,226,Frosttage
2000,Sitten,74,Frosttage
2000,St. Gallen,66,Frosttage
2000,Zürich-Fluntern,45,Frosttage
2001,Basel-Binningen,59,Frosttage
2001,Bern-Zollikofen,99,Frosttage
2001,Davos,183,Frosttage
2001,Genf-Cointrin,63,Frosttage
2001,Locarno-Monti,34,Frosttage
2001,Lugano,29,Frosttage
2001,Luzern,73,Frosttage
2001,Neuenburg,50,Frosttage
2001,Säntis,249,Frosttage
2001,Samedan,242,Frosttage
2001,Sitten,85,Frosttage
2001,St. Gallen,88,Frosttage
2001,Zürich-Fluntern,70,Frosttage
2002,Basel-Binningen,40,Frosttage
2002,Bern-Zollikofen,66,Frosttage
2002,Davos,187,Frosttage
2002,Genf-Cointrin,45,Frosttage
2002,Locarno-Monti,17,Frosttage
2002,Lugano,21,Frosttage
2002,Luzern,51,Frosttage
2002,Neuenburg,27,Frosttage
2002,Säntis,242,Frosttage
2002,Samedan,230,Frosttage
2002,Sitten,56,Frosttage
2002,St. Gallen,63,Frosttage
2002,Zürich-Fluntern,41,Frosttage
2003,Basel-Binningen,83,Frosttage
2003,Bern-Zollikofen,116,Frosttage
2003,Davos,192,Frosttage
2003,Genf-Cointrin,88,Frosttage
2003,Locarno-Monti,40,Frosttage
2003,Lugano,44,Frosttage
2003,Luzern,92,Frosttage
2003,Neuenburg,67,Frosttage
2003,Säntis,222,Frosttage
2003,Samedan,227,Frosttage
2003,Sitten,92,Frosttage
2003,St. Gallen,105,Frosttage
2003,Zürich-Fluntern,91,Frosttage
2004,Basel-Binningen,77,Frosttage
2004,Bern-Zollikofen,113,Frosttage
2004,Davos,187,Frosttage
2004,Genf-Cointrin,72,Frosttage
2004,Locarno-Monti,30,Frosttage
2004,Lugano,20,Frosttage
2004,Luzern,89,Frosttage
2004,Neuenburg,61,Frosttage
2004,Säntis,247,Frosttage
2004,Samedan,227,Frosttage
2004,Sitten,104,Frosttage
2004,St. Gallen,111,Frosttage
2004,Zürich-Fluntern,87,Frosttage
2005,Basel-Binningen,91,Frosttage
2005,Bern-Zollikofen,115,Frosttage
2005,Davos,176,Frosttage
2005,Genf-Cointrin,92,Frosttage
2005,Locarno-Monti,65,Frosttage
2005,Lugano,54,Frosttage
2005,Luzern,99,Frosttage
2005,Neuenburg,89,Frosttage
2005,Säntis,231,Frosttage
2005,Samedan,226,Frosttage
2005,Sitten,115,Frosttage
2005,St. Gallen,104,Frosttage
2005,Zürich-Fluntern,92,Frosttage
2006,Basel-Binningen,85,Frosttage
2006,Bern-Zollikofen,110,Frosttage
2006,Davos,175,Frosttage
2006,Genf-Cointrin,84,Frosttage
2006,Locarno-Monti,40,Frosttage
2006,Lugano,34,Frosttage
2006,Luzern,93,Frosttage
2006,Neuenburg,72,Frosttage
2006,Säntis,226,Frosttage
2006,Samedan,218,Frosttage
2006,Sitten,97,Frosttage
2006,St. Gallen,98,Frosttage
2006,Zürich-Fluntern,85,Frosttage
2007,Basel-Binningen,41,Frosttage
2007,Bern-Zollikofen,94,Frosttage
2007,Davos,191,Frosttage
2007,Genf-Cointrin,67,Frosttage
2007,Locarno-Monti,12,Frosttage
2007,Lugano,16,Frosttage
2007,Luzern,63,Frosttage
2007,Neuenburg,41,Frosttage
2007,Säntis,237,Frosttage
2007,Samedan,244,Frosttage
2007,Sitten,84,Frosttage
2007,St. Gallen,72,Frosttage
2007,Zürich-Fluntern,56,Frosttage
2008,Basel-Binningen,65,Frosttage
2008,Bern-Zollikofen,105,Frosttage
2008,Davos,199,Frosttage
2008,Genf-Cointrin,80,Frosttage
2008,Locarno-Monti,26,Frosttage
2008,Lugano,15,Frosttage
2008,Luzern,88,Frosttage
2008,Neuenburg,63,Frosttage
2008,Säntis,245,Frosttage
2008,Samedan,229,Frosttage
2008,Sitten,92,Frosttage
2008,St. Gallen,89,Frosttage
2008,Zürich-Fluntern,78,Frosttage
2009,Basel-Binningen,62,Frosttage
2009,Bern-Zollikofen,100,Frosttage
2009,Davos,190,Frosttage
2009,Genf-Cointrin,81,Frosttage
2009,Locarno-Monti,30,Frosttage
2009,Lugano,25,Frosttage
2009,Luzern,84,Frosttage
2009,Neuenburg,60,Frosttage
2009,Säntis,243,Frosttage
2009,Samedan,230,Frosttage
2009,Sitten,100,Frosttage
2009,St. Gallen,91,Frosttage
2009,Zürich-Fluntern,76,Frosttage
2010,Basel-Binningen,79,Frosttage
2010,Bern-Zollikofen,108,Frosttage
2010,Davos,187,Frosttage
2010,Genf-Cointrin,97,Frosttage
2010,Locarno-Monti,55,Frosttage
2010,Lugano,41,Frosttage
2010,Luzern,94,Frosttage
2010,Neuenburg,78,Frosttage
2010,Säntis,250,Frosttage
2010,Samedan,213,Frosttage
2010,Sitten,107,Frosttage
2010,St. Gallen,99,Frosttage
2010,Zürich-Fluntern,88,Frosttage
2011,Basel-Binningen,48,Frosttage
2011,Bern-Zollikofen,96,Frosttage
2011,Davos,179,Frosttage
2011,Genf-Cointrin,68,Frosttage
2011,Locarno-Monti,14,Frosttage
2011,Lugano,12,Frosttage
2011,Luzern,72,Frosttage
2011,Neuenburg,44,Frosttage
2011,Säntis,221,Frosttage
2011,Samedan,234,Frosttage
2011,Sitten,104,Frosttage
2011,St. Gallen,70,Frosttage
2011,Zürich-Fluntern,55,Frosttage
2012,Basel-Binningen,49,Frosttage
2012,Bern-Zollikofen,94,Frosttage
2012,Davos,180,Frosttage
2012,Genf-Cointrin,75,Frosttage
2012,Locarno-Monti,33,Frosttage
2012,Lugano,31,Frosttage
2012,Luzern,74,Frosttage
2012,Neuenburg,48,Frosttage
2012,Säntis,229,Frosttage
2012,Samedan,225,Frosttage
2012,Sitten,86,Frosttage
2012,St. Gallen,84,Frosttage
2012,Zürich-Fluntern,67,Frosttage
2013,Basel-Binningen,80,Frosttage
2013,Bern-Zollikofen,114,Frosttage
2013,Davos,182,Frosttage
2013,Genf-Cointrin,86,Frosttage
2013,Locarno-Monti,27,Frosttage
2013,Lugano,18,Frosttage
2013,Luzern,94,Frosttage
2013,Neuenburg,72,Frosttage
2013,Säntis,231,Frosttage
2013,Samedan,223,Frosttage
2013,Sitten,103,Frosttage
2013,St. Gallen,115,Frosttage
2013,Zürich-Fluntern,102,Frosttage
2014,Basel-Binningen,24,Frosttage
2014,Bern-Zollikofen,74,Frosttage
2014,Davos,171,Frosttage
2014,Genf-Cointrin,34,Frosttage
2014,Locarno-Monti,9,Frosttage
2014,Lugano,6,Frosttage
2014,Luzern,46,Frosttage
2014,Neuenburg,16,Frosttage
2014,Säntis,236,Frosttage
2014,Samedan,212,Frosttage
2014,Sitten,54,Frosttage
2014,St. Gallen,48,Frosttage
2014,Zürich-Fluntern,28,Frosttage
2015,Basel-Binningen,52,Frosttage
2015,Bern-Zollikofen,99,Frosttage
2015,Davos,178,Frosttage
2015,Genf-Cointrin,63,Frosttage
2015,Locarno-Monti,9,Frosttage
2015,Lugano,6,Frosttage
2015,Luzern,74,Frosttage
2015,Neuenburg,39,Frosttage
2015,Säntis,231,Frosttage
2015,Samedan,226,Frosttage
2015,Sitten,93,Frosttage
2015,St. Gallen,80,Frosttage
2015,Zürich-Fluntern,76,Frosttage
2016,Basel-Binningen,60,Frosttage
2016,Bern-Zollikofen,95,Frosttage
2016,Davos,184,Frosttage
2016,Genf-Cointrin,66,Frosttage
2016,Locarno-Monti,9,Frosttage
2016,Lugano,10,Frosttage
2016,Luzern,68,Frosttage
2016,Neuenburg,43,Frosttage
2016,Säntis,235,Frosttage
2016,Samedan,217,Frosttage
2016,Sitten,82,Frosttage
2016,St. Gallen,88,Frosttage
2016,Zürich-Fluntern,68,Frosttage
2017,Basel-Binningen,60,Frosttage
2017,Bern-Zollikofen,102,Frosttage
2017,Davos,190,Frosttage
2017,Genf-Cointrin,78,Frosttage
2017,Locarno-Monti,32,Frosttage
2017,Lugano,32,Frosttage
2017,Luzern,76,Frosttage
2017,Neuenburg,54,Frosttage
2017,Säntis,246,Frosttage
2017,Samedan,238,Frosttage
